UF;MUNICÍPIO;IBGE;Comp. CNES;Parcela;Indicador de Equidade e Dimensionamento;Classificação Componente Vínculo;Classificação Componente Qualidade;Teto eSF;Qtde. eSF Credenciadas;Qtde. eSF Homologadas;Qtde. eSF Pagas;Qtde. eSF Completas;Qtde. eSF Incompletas - 75%;Qtde. eSF Incompletas - 50%;Qtde. eSF Incompletas - 25%;Componente Equidade eSF;Vínculo e Acompanhamento territorial eSF;Qualidade eSF;Parcela Adicional - Qualidade;Valor Total eSF;Implantação eSF
MG;ENTRE RIOS DE MINAS;312390;JAN/2025;3/12;ESTRATO 3;BOM;BOM;8;6;6;6;6;0;0;0;R$ 84.000,00 ;R$ 36.000,00 ;R$ 36.000,00 ;R$ 0,00 ;R$ 156.000,00 ;R$ 0,00 
MG;ERVALIA;312400;JAN/2025;3/12;ESTRATO 3;BOM;BOM;10;10;10;10;10;0;0;0;R$ 140.000,00 ;R$ 60.000,00 ;R$ 60.000,00 ;R$ 0,00 ;R$ 260.000,00 ;R$ 0,00 
MG;ESMERALDAS;312410;JAN/2025;3/12;ESTRATO 3;BOM;BOM;46;20;20;19;18;1;0;0;R$ 262.500,00 ;R$ 112.500,00 ;R$ 112.500,00 ;R$ 0,00 ;R$ 487.500,00 ;R$ 0,00 
MG;ESPERA FELIZ;312420;JAN/2025;3/12;ESTRATO 4;BOM;BOM;12;8;8;8;8;0;0;0;R$ 96.000,00 ;R$ 48.000,00 ;R$ 48.000,00 ;R$ 0,00 ;R$ 192.000,00 ;R$ 0,00 
MG;ESPINOSA;312430;JAN/2025;3/12;ESTRATO 2;BOM;BOM;16;12;12;12;12;0;0;0;R$ 192.000,00 ;R$ 72.000,00 ;R$ 72.000,00 ;R$ 0,00 ;R$ 336.000,00 ;R$ 0,00 
MG;ESPIRITO SANTO DO DOURADO;312440;JAN/2025;3/12;ESTRATO 3;BOM;BOM;4;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;ESTIVA;312450;JAN/2025;3/12;ESTRATO 3;BOM;BOM;6;6;6;6;6;0;0;0;R$ 84.000,00 ;R$ 36.000,00 ;R$ 36.000,00 ;R$ 0,00 ;R$ 156.000,00 ;R$ 0,00 
MG;ESTRELA DALVA;312460;JAN/2025;3/12;ESTRATO 3;BOM;BOM;1;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;ESTRELA DO INDAIA;312470;JAN/2025;3/12;ESTRATO 3;BOM;BOM;1;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;ESTRELA DO SUL;312480;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;4;4;4;4;0;0;0;R$ 56.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 104.000,00 ;R$ 0,00 
MG;EUGENOPOLIS;312490;JAN/2025;3/12;ESTRATO 3;BOM;BOM;6;6;6;6;6;0;0;0;R$ 84.000,00 ;R$ 36.000,00 ;R$ 36.000,00 ;R$ 0,00 ;R$ 156.000,00 ;R$ 0,00 
MG;EWBANK DA CAMARA;312500;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;EXTREMA;312510;JAN/2025;3/12;ESTRATO 4;BOM;BOM;29;19;19;19;18;0;1;0;R$ 222.000,00 ;R$ 111.000,00 ;R$ 111.000,00 ;R$ 0,00 ;R$ 444.000,00 ;R$ 0,00 
MG;FAMA;312520;JAN/2025;3/12;ESTRATO 3;BOM;BOM;1;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;FARIA LEMOS;312530;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;FELICIO DOS SANTOS;312540;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;3;3;3;3;0;0;0;R$ 42.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 78.000,00 ;R$ 0,00 
MG;FELISBURGO;312560;JAN/2025;3/12;ESTRATO 2;BOM;BOM;3;3;3;3;3;0;0;0;R$ 48.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 84.000,00 ;R$ 0,00 
MG;FELIXLANDIA;312570;JAN/2025;3/12;ESTRATO 3;BOM;BOM;7;7;7;7;7;0;0;0;R$ 98.000,00 ;R$ 42.000,00 ;R$ 42.000,00 ;R$ 0,00 ;R$ 182.000,00 ;R$ 0,00 
MG;FERNANDES TOURINHO;312580;JAN/2025;3/12;ESTRATO 3;BOM;BOM;1;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
